Nom de la Commune,Code Postal,Latitude,Longitude
PARIS,75011,"48,8589","2,347"
PARIS,75001,"48,8589","2,347"
SAINT FLOUR,15100,"45,0251","3,073"
MARSEILLE,13002,"43,2803","5,3806"
ETERVILLE,14930,"49,146","-0,427"
COUERON,44220,"47,2391","-1,7472"
VIENNE,38200,"45,5221","4,8803"
PARIS,75013,"48,8589","2,347"
TOULOUSE,31000,"43,6007","1,4328"
TREGUEUX,22950,"48,4769","-2,7454"
MEAUX,77100,"48,9573","2,9035"
SARREGUEMINES,57200,"49,106","7,0709"
CHARTRES,28000,"48,4481","1,5046"
HEROUVILLE-SAINT-CLAIR,14200,"49,2042","-0,3324"
ANGOULEME,16000,"45,6458","0,145"
PARIS,75012,"48,8589","2,347"
VIERZON,18100,"47,2351","2,0776"
PARIS,75018,"48,8589","2,347"
BIRON,64300,"43,4624","-0,7414"
ORMOY,89400,"47,9519","3,5751"
BORGO,20290,"42,5809","9,4546"
PLOERMEL,56800,"47,9167","-2,3769"
COUTANCES,50200,"49,0552","-1,4451"
FRASNE,25560,"46,854","6,145"
AIX-EN-PROVENCE,13100,"43,536","5,3879"
SAINT-JEAN-DE-VEDAS,34430,"43,5732","3,8329"
VILLOTTE-SUR-AIRE,55260,"48,8568","5,3592"
