ville,code_postal,adresse,Longitude,Latitude
PARIS,75011,11 RUE OBERKAMPF 75011 PARIS | 1 établissement en activité,"2,347","48,8589"
PARIS,75001,"27 AVENUE DE L'OPERA 75001 PARIS | 29 RUE NOTRE-DAME DE NAZARETH 75003 PARIS | ENTREPRISE GERMAIN, 20 RUE DE LA CERISAIE 75004 PARIS | 53 établissements en activité","3,073","45,0251"
SAINT FLOUR,15100,"Z.A.DE VOLZAC VOLZAC 15100 SAINT FLOUR | L'ENTREPRISE ELECTRIQUE LANGEAC, RUE DE LA LOUBATEYRE 43300 LANGEAC | ZA SAINTE CATHERINE 704 AVENUE LA MERIDIENNE 48100 MARVEJOLS | 5 établissements en activité","5,3806","43,2803"
MARSEILLE,13002,25 BOULEVARD DES DAMES 13002 MARSEILLE | 10 PARC CLUB DU MILLENAIRE 1025 AVENUE HENRI BECQUEREL 34000 MONTPELLIER | 5 établissements en activité,"-0,427","49,146"
PONTAVERT,2160,LE VILLAGE 02160 PONTAVERT | Z I O 10 AVENUE DES CHENEVIERES 51370 SAINT-BRICE-COURCELLES | CHE DEPARTEMENTAL 9 51530 OIRY | 9 établissements en activité,"-1,7472","47,2391"
ETERVILLE,14930,RESERVOIRS EP 14930 ETERVILLE | COURS COQUETS 35133 LA SELLE-EN-LUITRE | 4 établissements en activité,"4,8803","45,5221"
COUERON,44220,4 RUE DU FONTENY 44220 COUERON | ZAC DU CHENE 3 RUE DU 35EME REGIMENT D'AVIATION 69500 BRON | 4 établissements en activité,"1,4328","43,6007"
VIENNE,38200,"POMPES FUNEBRES ST JEANNAISES, 8 A 10 8 RUE DU CIMETIERE 38200 VIENNE | 38540 HEYRIEUX | 7 établissements en activité","-2,7454","48,4769"
PARIS,75013,"BERNARD SERVICES, 30 RUE DE TOLBIAC 75013 PARIS | BERNARD SERVICES, 55 AVENUE DE LA REPUBLIQUE 78800 HOUILLES | 6 établissements en activité","2,9035","48,9573"
TOULOUSE,31000,20-22 20 BOULEVARD DE STRASBOURG 31000 TOULOUSE | 5 AVENUE DE VERDUN 94200 IVRY-SUR-SEINE | 3 établissements en activité,"7,0709","49,106"
TREGUEUX,22950,PARC D'ACTIVITES DES CHATELETS 30 AVENUE DES CHATELETS 22950 TREGUEUX | 26 RUE DES LANDELLES 35135 CHANTEPIE | 3 établissements en activité,"1,5046","48,4481"
MEAUX,77100,30 RUE PIERRE BRASSEUR 77100 MEAUX | 25 QUAI DES DEUX PONTS 93160 NOISY LE GRAND | 3 établissements en activité,"-0,3324","49,2042"
SARREGUEMINES,57200,5 RUE DE LA MONTAGNE 57200 SARREGUEMINES | 1 RUE SAINTE-CROIX 57600 FORBACH | 3 établissements en activité,"0,145","45,6458"
CHARTRES,28000,ZAC DES PROPYLEES 5 ALLEE PROMETHEE 28000 CHARTRES | 10 RUE DU NOYER 35000 RENNES | 3 établissements en activité,"2,0776","47,2351"
HEROUVILLE-SAINT-CLAIR,14200,CITIS 2 AVENUE DE CAMBRIDGE 14200 HEROUVILLE-SAINT-CLAIR | 17 RUE DES CAPUCINS 61000 ALENCON | 3 établissements en activité,"-0,7414","43,4624"
ANGOULEME,16000,12 AVENUE DU GENERAL DE GAULLE 16000 ANGOULEME | 350 RUE BARTHELEMY THIMONNIER 69530 BRIGNAIS | 3 établissements en activité,"3,5751","47,9519"
PARIS,75012,"13 RUE DE CITEAUX 75012 PARIS | CAMPUS PAUL CEZANNE, 7 RUE PAUL GAUGUIN 78200 MANTES-LA-JOLIE | 3 établissements en activité","9,4546","42,5809"
VIERZON,18100,LA GIRAUDIERE ROUTE DE TOURS 18100 VIERZON | LD LE TUREAU 18120 CHERY | 5 établissements en activité,"-2,3769","47,9167"
PARIS,75018,13 AU 15 13 AVENUE DE LA PORTE DE LA CHAPELLE 75018 PARIS | RUE BENJAMIN NORMAND 76300 SOTTEVILLE-LES-ROUEN | 8 établissements en activité,"-1,4451","49,0552"
BIRON,64300,64300 BIRON | L'USINE 64300 MONT | 4 établissements en activité,"6,145","46,854"
ORMOY,89400,"ID'EES 89, ROUTE D’ESNON 89400 ORMOY | ID'EES 89, 43 AVENUE DE PARIS 89470 MONETEAU | 4 établissements en activité","5,3879","43,536"
CANNES,6400,"GOURMET DRINKS & TOBACCO (GDT), PORT CANTO BOULEVARD DE LA CROISETTE 06400 CANNES | ENTREPRISE GENERALE PORTUAIRE, BOX 33 MIN ST AUGUSTIN 06000 NICE | 4 établissements en activité","3,8329","43,5732"
BORGO,20290,"DELTA MIROITERIE, RTE NATIONALE 193 VALROSE 20290 BORGO | PARC D'ACTIVITES BORGO PURETTONE LOT N 7 20290 BORGO | 2 établissements en activité","5,3592","48,8568"
PLOERMEL,56800,2 IMP THEODORE BOTREL 56800 PLOERMEL | LA VILLE HOUET 56800 GUILLAC | 2 établissements en activité,,
COUTANCES,50200,8 RUE D'HARCOURT 50200 COUTANCES | HAM LES MARTINS 50470 TOLLEVAST | 2 établissements en activité,,
FRASNE,25560,15 RUE DU PATET 25560 FRASNE | 2 établissements en activité,,
AIX-EN-PROVENCE,13100,1125 RUE JEAN PERRIN 13100 AIX-EN-PROVENCE | 13100 BEAURECUEIL | 2 établissements en activité,,
TOURNON-SUR-RHONE,7300,1 ROUTE DE LAMASTRE 07300 TOURNON-SUR-RHONE | HAMEAU DE CHAVEROCHE 07300 ETABLES | 2 établissements en activité,,
SAINT-JEAN-DE-VEDAS,34430,ZI LA LAUZE 6 RUE JEAN MERMOZ 34430 SAINT-JEAN-DE-VEDAS | 15 RUE VILLAR 34725 SAINT-ANDRE-DE-SANGONIS | 2 établissements en activité,,
VILLOTTE-SUR-AIRE,55260,17 RUE DU MONT 55260 VILLOTTE-SUR-AIRE | 2 établissements en activité,,
